title,id,price,link,brand,availability,image_link,condition,description
"Roselli UHC Eräpuukko",R200,129.9 EUR,https://www.retkitukku.fi/roselli-uhc-erapuukko.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/r/o/roselli-uhc.jpg,new,"ROSELLI UHC ERÄPUUKKO – PARASTA LAATUA METSÄSTÄJILLE Parasta laatua – Roselli UHC Eräpuukko. Erittäin purevalla UHC -terällä varustettu puukko sopii erinomaisesti niin vuolemiseen, riistan ja kalan käsittelyyn kuin mihin tahansa muuhunkin leikkaamiseen. Kahva lämpökäsiteltyä, pellavaöljyttyä koivua, josta saa turvallisen ja tukevan otteen. Kahva ei luista märkänäkään. Yksi hirvimiesten ja retkeilijöiden suosikkipuukoista. Terän pituus 105 mm Puukon pituus: 230 mm Terä: UHC-terästä Kahva..."
"Roselli Eräpuukko",R100,74.9 EUR,https://www.retkitukku.fi/roselli-puukko.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/r/o/roselli-erapuukko.jpg,new,"METSÄSTÄJIEN JA RETKEILIJÖIDEN SUOSIKKI - ROSELLI ERÄPUUKKO Taattua Roselli -laatua. Erinomaisesti käteen istuva pellavaöljytty koivukahva, joka ei luista märkänäkään. Terä taottua hiiliterästä. Sopii erinomaisesti niin vuolemiseen, riistan ja kalan käsittelyyn kuin mihin tahansa muuhunkin leikkaamiseen. Metsästäjän unelmatyökalu. Terän pituus 100 mm Puukon pituus 225 mm Terä: Roselli -hiiliteräs Kahva: pellavaöljytty, lämpökäsitelty visakoivu  ..."
"Helly Hansen Classic Duffel varustekassi 50 L violetti",7040054904339,69.9 EUR,https://www.retkitukku.fi/helly-hansen-classic-duffel-kassi-50-l-violetti-1.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/h/e/helly_hansen_duffel_50_l_violetti_2.jpg,new,"TILAVA, MONIKÄYTTÖINEN VARUSTEKASSI Vedenpitävä Helly Hansenin kassi monenlaiseen menoon. Hyvä kantaa niin selässä kuin kädessäkin erilaisten kantokahvojen ja -hihnojen ansiosta. Topatut olkahihnat ovat miellyttävän tuntuiset painavallakin kuormalla. Monia taskuja helpottamassa tavaroiden säilytystä ja kuljetusta. Paikka nimikyltille. Kestävää materiaalia. Tilavuus: 50 L Vedenpitävä Vetoketjulliset sisä- ja sivutaskut Useita kantokahvoja ja -hihnoja Irrotettavat, topatut olkahihnat Nimi..."
"Härkila Pro Hunter GTX 10"" Armortex Kevlar -metsästyskengät",HPHAMORTKEV,249.0 EUR,https://www.retkitukku.fi/harkila-pro-hunter-gtx-10-armortex-kevlar-metsastyskenka.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/h/_/h_rkila_pro_hunter_gore-tex_armortex_kevlar_mets_styskenk_.jpg,new,"NOPEASTI KUIVUVA JA ERITTÄIN KESTÄVÄ HÄRKILAN KEVLAR -METSÄSTYSKENKÄ Erittäin kestäväksi suunniteltu Härkilan Pro Hunter GTX 10"" Armortex  Kevlar -metsästyskenkä, joka ei petä haastavissakaan maastoissa. Kengän jalkaterä on vahvistettu kestävällä ja nopeasti kuivuvalla Kevlar -materiaalilla, jonka käyttö on suunniteltu juuri haastaviin maastoihin. Kevlar -vahvistuksen ansiosta kenkä kuivuu nopeammin kuin normaali nahkakenkä. Kenkä on myös päällystetty hengittävällä ja vedenpitävällä Gor..."
"Helly Hansen Classic Duffel varustekassi  violetti 90 ",7040054904353,79.9 EUR,https://www.retkitukku.fi/helly-hansen-classic-duffel-kassi-90-l-violetti.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/h/e/helly_hansen_duffel_90_l_violetti.jpg,new,"HELLY HANSENIN VEDENPITÄVÄ KASSI 90 L Kestävä, monikäyttöinen ja sporttinen Helly Hansenin Duffel -kassi. Irrotettavien, pehmustettujen olkahihnojen avulla kassi muotoutuu myös selässä kannettavaksi ""repuksi"". Paljon vetoketjullisia taskuja sisä- ja ulkopuolella. Tilavuus: 90 L Vedenpitävä Vetoketjulliset sisä- ja ulkotaskut Useita kantokahvoja ja -hihnoja Irrotettavat, topatut olkahihnat Nimikylttipaikka Väri: Violetti..."
"Savotta Asehihna Ruskea",6419134868518,10.0 EUR,https://www.retkitukku.fi/savotta-asehihna-ruskea.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/s/a/savotta_asehihna.jpg,new,"LAADUKAS SAVOTTA ASEHIHNA KIVÄÄRIIN Erittäin laadukkaasta nahasta valmistettu Savotta -asehihna kiinnitetään kiväärin tai muun sopivan kokoisen aseen runkoon kantohihnaksi. Kantohihnan avulla ase pysyy todella hyvin paikallaan metsästäjän olalla, sillä sen sisäpintaan on lisätty kumiset luistonestonauhat ja päätylenkit on valmistetty kestävästä nylonista. Väri ruskea...."
"Sasta Ilves Metsästyshousut",SILVESTROUSERS,299.0 EUR,https://www.retkitukku.fi/sasta-ilves-metsastyshousut.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/s/a/sasta_ilves_housut.jpg,new,"SASTAN LAADUKKAAT ILVES METSÄSTYSHOUSUT Tekniset, erittäin laadukkaat Sastan Ilves -metsästyshousut upealla Mossy Oak Break-Up Country® -kuosilla. Hengittävä ja äänetön Gore-Tex® Woodland -vuori on veden- ja tuulenpitävä ja pitää sinut kuivana säästä ja aktiivisuudestasi riippumatta. Vahvistetut, muotoillut polviosiot sekä joustava vyötärö lisäävät käyttömukavuutta. Vetoketjullinen reisitasku sekä takatasku. Vahvistetut polviosiot sekä lahkeensuut. Hengittävä, veden- ja tuulenpitävä Gor..."
"Sasta Ilves Metsästystakki",SAILVESJACKET,369.0 EUR,https://www.retkitukku.fi/sasta-ilves-takki.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/s/a/sasta_ilves_takki.jpg,new,"KEVYT JA LAADUKAS SASTAN ILVES METSÄSTYSTAKKI Sastan kevyt, monipuolinen Ilves -takki metsästykseen ja eräretkeilyyn. Upea Mossy Oak Break-Up Country® -kuosi, joka maastouttaa tehokkaasti. Veden- ja tuulenpitävä Gore-Tex® Woodland -vuori on äänetön ja hengittävä, ja pitää sinut kuivana säästä ja aktiivisuudestasi riippumatta. Vetoketjulliset sivutaskut sekä radiopuhelintasku antennilenkillä. Muotoillut, vahvistetut kyynärpäät lisäävät liikkuvuutta ja kestävyyttä. Veden- ja tuulenpitävä ..."
"Carlson Big Tuffy -lemmikkiaita",891618006320,49.0 EUR,https://www.retkitukku.fi/carlson-big-tuffy-lemmikkiportti.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/c/a/carlson1valmis.jpg,new,"CARLSON BIG TUFFY - LEMMIKKIAITA Carlson Big Tuffy lemmikkiaita on tyylikäs, valkoinen koiraportti pienille ja keskisuurille koirille. Portti on helppo asentaa painekiinnitysjärjestelmän ansiosta. Aidan saa levennettyä tai kavennettua haluttuun leveyteen. Carlson Big Tuffy on tukeva, metallirakenteinen ja se kestää pureskelua. Alareunassa on oviluukku, josta kissat voivat kulkea. Mitat: Leveys 74 - 107 cm Korkeus 81 cm..."
"Mil-Tec Naamiovärisetti",4046872355349,9.9 EUR,https://www.retkitukku.fi/naamiovarisetti.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/n/a/naamiovarisetti.jpg,new,"MIL-TEC NAAMIOVÄRISETTI VIIMEISTELEE NAAMIOITUMISEN Mil-Tecin naamiovärisetillä viimeistelet helposti naamioitumisen. Seitsemällä eri värillä saat juuri maastoon ja olosuhteisiin sopivan naamioinnin kasvoille ja käsille. Värit on helppo levittää. Yleensä maalattavaan kohtaan levitetään parhaiten sopiva pohjaväri, johon pystysuunnassa vedetään vielä raitoja ja rantuja eri värillä. Värit pysyvät hyvin kasvoissa, mutta ne on myös todella helppo poistaa pesemällä. Värit toimitetaan kaikki s..."
"Naamioverkko Realtree Max 4 HD 6,0 x 2,2 M",4046872327896,89.9 EUR,https://www.retkitukku.fi/naamioverkko-realtree-4hd-6-0x2-4m.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/n/a/naamioverkko.jpg,new,"NAAMIOVERKKO REALTREE MAX 4 HD -KUVIOLLA Realtree Max 4 HD -naamioverkolla maastoudut tehokkaasti ja se soveltuu värityksensä ansiosta erityisen hyvin vesilinnustukseen. Naamioverkko on erittäin lujaa ja kestävää materiaalia. Mitat noin 2,2 m x 6,0 m Paino vain 0,85 kg  UV-suojattu..."
"Naamioverkko Flecktarn 2,4 x 6,0 M",4046872274688,69.9 EUR,https://www.retkitukku.fi/naamioverkko-2-4x6-0m.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/f/l/flecktarn.jpg,new,"LAADUKAS 2,4 X 6,0 M NAAMIOVERKKO FLECKTARN-KUOSILLA Hyvin suomalaiseen luontoon sopiva Flecktarn -kuvioitu naamioverkko. Naamioverkko kestää hyvin kosteutta ja auringonpaistetta. Mitat 2,4 x 6,0 m Paino 1,4 kg Materiaali 100 % polyesteri..."
"Naamioverkko Flecktarn 1,1 x 3,0 M",4046872274664,24.9 EUR,https://www.retkitukku.fi/naamioverkko-1-1x3-0m.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/f/l/flecktarn_1.jpg,new,"LAADUKAS 1,1 X 3,0 M NAAMIOVERKKO FLECKTARN -KUOSILLA Hyvin suomalaiseen luontoon sopiva Flecktarn -kuvioitu naamioverkko. Naamioverkko kestää hyvin kosteutta ja auringonpaistetta. Mitat: 1,1 x 3,0 m Paino: 500 g Materiaali: 100 % polyesteri..."
"OD Fleecekynsikkäät",ODFLEECEKYNSIKKÄÄT,14.9 EUR,https://www.retkitukku.fi/od-fleecekynsikkaat.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/k/y/kynsikas.jpg,new,"LÄMPIMÄT FLEECEKYNSIKKÄÄT METSÄSTYKSEEN Lämpimät ja tuultapitävät fleecekynsikkäät sopivat hyvin metsästykseen ja ampumiseen. Vahvikkeet peukalossa ja kämmenosassa. Pitkä ranneosa pitää myös ranteet lämpimänä. 2 eri kokoa...."
"Härkila Flex Vyö M/L",5707335293958,29.9 EUR,https://www.retkitukku.fi/harkila-flex-vyo.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/h/_/h_rkila_flex_vy_.jpg,new,"HÄRKILA FLEX VYÖ Härkilan vahva, joustava vyö aktiivimetsästäjälle. Säädettävä vyö, jossa metallinen solki. Koko: M/L Pituus: 105 cm..."
"Sasta Mehto Pro GTX Optifade -camopuku",SASTAMEHTOPRO2.0GTXOPTIFADESUIT,899.0 EUR,https://www.retkitukku.fi/sasta-mehto-pro-2-0-gtx-optifade-metsastystakki-ja-housut.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/s/a/sasta_mehto_pro_2.0_optifade_puku_1.jpg,new,"SASTAN AINUTLAATUINEN MEHTO PRO GORE-TEX® OPTIFADE METSÄSTYSPUKU Puku on kehitetty yhdessä metsästysoppaiden kanssa ja sen tekniset ominaisuudet ovatkin huippuluokkaa. Äänetön sekä pehmeä Gore-Tex® kolmikerrosmateriaali mahdollistaa metsästyksen joka säällä. Optifade® -kuosi taas maastouttaa tehokkaasti pohjoismaiseen luontoon ja tekee metsästäjästä näkymättömän saaliin silmissä. Hyvät tuuletusaukot sekä säätömahdollisuudet niin takissa kuin housuissa lisäävät käyttömukavuutta. Irrotett..."
"Sasta Mehto Pro 2.0 GTX Metsästyshousut Optifade",SASTAMEHTOPROGTXOPTIFADEMETSÄSTYSHOUSUT,499.0 EUR,https://www.retkitukku.fi/sasta-mehto-pro-2-0-gtx-optifade-metsastyshousut.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/s/a/sasta_mehto_pro_20_optifade_housut.jpg,new,"SASTAN MEHTO PRO GTX METSÄSTYSHOUSUT Sastan laadukkaat Mehto Pro -metsästyshousut. Suuret tuuletusaukot, irrotettavat henkselit sekä patruunapidikkeet. Pehmeä, äänetön ja erittäin kestävä Gore-Tex® 3-kerrosmateriaali sekä monipuoliset säätömahdollisuudet lisäävät käyttömukavuutta. Housujen ainutlaatuinen Gore® Concealment® Optifade -camokuosi maastouttaa tehokkaasti ja tekee mestästäjästä näkymättömän saaliin silmissä. Vyötärökaistaleessa vyölenkit sekä irrotettavat henkselit. Muotoillu..."
"Sasta Mehto Pro 2.0 GTX Metsästystakki Optifade",SASTAMEHTOPROGTXOPTIFADEMETSÄSTYSTAKKI,599.0 EUR,https://www.retkitukku.fi/sasta-mehto-pro-2-0-gtx-optifade-metsastystakki.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/s/a/sasta_mehto_pro_20_optifade_takki.jpg,new,"SASTAN METSÄSTYSMALLISTON LIPPULAIVA Sastan laadukkaat Mehto Pro -metsästyshousut. Pehmeä, äänetön Gore-Tex® 3-kerrosmateriaali sekä monipuoliset säätömahdollisuudet lisäävät käyttömukavuutta. Ainutlaatuinen Gore® Concealment® Optifade -kuosi maastouttaa tehokkaasti ja tekee metsästäjästä näkymättömän saaliin silmissä. Irrotettavan hupun sekä takin tuuletusaukkojen avulla saat muokattua takkia tarpeittesi mukaan. Yhteensopiva Sasta Mehto Pro Optifade Metsästyshousujen kanssa.   100 % ve..."
"Berghaus Grab Bag 35L päiväreppu ",BX20913C01,54.9 EUR,https://www.retkitukku.fi/berghaus-grab-bag.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/g/r/grab-bag.jpg,new,"BERGHAUS GRAB BAG 35L PÄIVÄREPPU EDULLISESTI! Berghaus Grab Bag 35L on erittäin kätevä päiväreppu metsästäjille ja luonnossa liikujille. Iso päätasku sekä päällä oleva vetoketjutasku takaavat riittävästi tilaa varusteille. Reppu on helposti kiinnitettävissä esim. Berghausin suurempiin rinkkoihin, jolloin voit tehdä lyhyempiä reissuja päivärepun kanssa.  Tilavuus: 35 litraa Mitat: 50 X 30 X 22cm Paino: 580g Materiaali: Ardura 1000D..."
"Berghaus Vulcan IV / 4 100L",BX21933C01,249.9 EUR,https://www.retkitukku.fi/berghaus-vulcan-iv-100l.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/v/u/vulcan.jpg,new,"PERINTEIKÄS BERGHAUSIN VULCAN SOTILASRINKKA 100L! Erittin kestävä ja perinteikkäästi muotiltu Berghausin sotilasrinkka. Älykkään Cyclops II -kantojärjestelmän ansiosta paino jakautuu tasaisesti koko yläkropalle, jonka ansiosta Vulcania on erittäin miellyttävä kantaa raskaammallakin kuormalla. Selkäpuolella ergonomisesti muotoillut pehmustetyynyt. Tilavat sivutaskut tuovat mukavasti extratilaa. Rinkan päällä kiinnitysremmit lisätavaroille. Kompressiohihnojen avulla voit kiristää reppua, ..."
"Royal Canin Energy -energialisä 1,5 kg",3182550784696,50.0 EUR,https://www.retkitukku.fi/royal-canin-energy-energialisa-1-5-kg.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/e/n/energylaatikkovalmis.jpg,new,"ROYAL CANIN ENERGY - LISÄENERGIAA KOIRALLESI - NYT 1,5 KG:N SÄÄSTÖPAKKAUKSESSA Erinomainen ravintolisä aktiivisille, täysikasvuisille koirille, jotka kaipaavat lisäenergiaa. Royal Canin Energy sisältää lyhytketjuisia rasvahappoja, jotka antavat koiralle nopeasti hyödynnettävää energiaa sekä parantavat suorituskykyä. Kova, fyysinen harjoitus lisää soluille hapettumisstressiä aiheuttavien vapaiden radikaalien tuotantoa - Royal Canin Energy sisältää antioksidantteja (E- ja C-vitamiinit sek..."
"Royal Canin Energy -energialisä 50 g",3182550784641,3.99 EUR,https://www.retkitukku.fi/royal-canin-energy-energialisa-50-g.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/e/n/energyvalmis.jpg,new,"ROYAL CANIN ENERGY - LISÄENERGIAA KOIRALLESI Erinomainen ravintolisä aktiivisille, täysikasvuisille koirille, jotka kaipaavat lisäenergiaa. Royal Canin Energy sisältää lyhytketjuisia rasvahappoja, jotka antavat koiralle nopeasti hyödynnettävää energiaa sekä parantavat suorituskykyä. Kova, fyysinen harjoitus lisää soluille hapettumisstressiä aiheuttavien vapaiden radikaalien tuotantoa - Royal Canin Energy sisältää antioksidantteja (E- ja C-vitamiinit sekä polyfenolit), jotka toimivat sol..."
"Fenn MK6 -hetitappavat raudat",P7625,14.9 EUR,https://www.retkitukku.fi/fenn-mk6-hetitappavat-raudat.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/f/e/fenn-mk6.jpg,new,"FENN MK6 -HETITAPPAVAT RAUDAT Fenn MK6 -hetitappavat raudat on tarkoitettu minkin, piisamin, kärpän sekä näädän metsästykseen. Raudat tappavat niihin menevän eläimen välittömästi ja täyttävät hetitappaville raudoille säädetyt vaatimukset. Raudoista löytyy ankkuriketju sekä varmistin, joka helpottaa rautojen asennusta. Rauat laukeavat, kun kohde-eläin työntyy rautoihin sivusta ja astuu rautojen astinlautaan. Raudat voidaan peittää kevyesti esimerkiksi hienolla hiekalla - tämä ei estä rau..."
"Metallinen pyypilli",P7629,9.9 EUR,https://www.retkitukku.fi/metallinen-pyypilli.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/m/e/metallinen_pyypilli.jpg,new,"METALLINEN PYYPILLI Metallinen pyypilli onvalmistettu käsityönä ja siinä on luonnollinen sekä helposti muunneltavissa oleva ääni. Pilli on helppo puhaltaa ja se on helppo pitää tallessa mukana tulevan kaulanauhan avulla. Tämä metallinen pyypilli ei myöskään tukkeudu helposti. ..."
"Muovinen pyypilli",P7628,7.9 EUR,https://www.retkitukku.fi/muovinen-pyypilli.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/m/u/muovinen_pyypilli_1.jpg,new,"NÄPPÄRÄ PYYPILLI EDULLISESTI! Muovinen pyypilli on helposti puhallettava ja sen ääntä on helppo muunnella. Osaava puhaltaja saa soitettua tällä pillillä koko pyyn äänirepertuaarin. Pilli soi aidosti ja hienosti, vaikka se vääntyisi. ..."
"Mad KA Pillinaru",6430055024401,29.9 EUR,https://www.retkitukku.fi/mad-ka-pillinaru.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/m/a/mad_ka.jpg,new,"MAD KA PILLINARU Mad KA on kelluva pillinaru, jossa on tuplakiinnitys viidelle pillille. Pillinarussa on siirrettävät pillin paikat sekä pikairroitus varsinaiselle pilliosalle. Niskaa tukeva osa on camovärinen. ..."
"Alaska Softshell-Takki ja -Housut Miehille Vihreä",SOFTSHELLGREEN,79.8 EUR,https://www.retkitukku.fi/alaska-softshell-takki-housut-vihrea.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/s/o/softshell4jpg.jpg,new,"MIESTEN ALASKA SOFTSHELL-TAKKI JA -HOUSUT VIHREÄ Miesten vihreä Alaska Meade Softshell -takki on valmistettu erittäin kevyestä ja miellyttävän tuntuisesta materiaalista. Materiaali joustaa neljään suuntaan, mikä tekee siitä extramukavan päällä. Rain-Stop® -kalvo pitää sinut kuivana ja lämpimänä sateisella ja tuulisella syysilmallakin. Kalvo on kuitenkin hengittävä ja se siirtää kosteuden tehokkaasti alemmilta kerroksilta ylempiin kerroksiin. Vetoketjulliset sivutaskut ja rintatasku mahd..."
"Alaska Softshell-Takki ja -Housut Miehille Musta",SOFTSHELLBLK,79.8 EUR,https://www.retkitukku.fi/alaska-softshell-takki-housut-miehille.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/s/o/softshell3.jpg,new,"ALASKA SOFTSHELL-TAKKI JA -HOUSUT MIEHILLE  Alaska Meade Softshell -takki on erittäin miellyttävän tuntuinen takki huippuominaisuuksilla. Sen materiaali joustaa neljään suuntaan, mikä tekee siitä erityisen mukavan päällä. Kevyt takki on varustettu vettä- ja tuulta pitävällä Rain-Stop® -kalvolla. Kalvo antaa kuitenkin ihosi hengittää ja siirtää kosteuden alemmilta kerroksilta tehokkaasti pois. HiDry™ -pintakäsittelyn ansiosta takin pinta hylkii niin likaa kuin vettä. Vahvat YKK-vetoketju..."
"Royal Canin Sporting Life Agility 4100 Suurille koirille 15 kg",3182550837927,49.9 EUR,https://www.retkitukku.fi/royal-canin-sporting-life-agility-4100-suurille-koirille-15-kg.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/a/g/agilityvalmis.jpg,new,"ROYAL CANIN SPORTING LIFE AGILITY 4100 SUURILLE KOIRILLE Royal Canin Sporig life Agility 4100 on suunniteltu tukemaan suuren, yli 10 kg painavan koiran suorituskykyä intensiivisen ja lyhytkestoisen harjoituksen aikana. Sporting Life Agility 4100 koiranruoka sisältää paljon (40 %) nopeasti imeytyviä hiilihydraatteja, jotka täyttävät lihasten hiilihydraattivarastot ennen suoritusta ja auttavat myös harjoituksesta palautumisessa. Royal Canin Sporting life Agility on loistava valinta tukema..."
"Bergans Rondane -rinkka 65 l sininen",7031581551578,220.0 EUR,https://www.retkitukku.fi/bergans-rondane-65-l.html,retkitukku,in stock,https://www.retkitukku.fi/media/catalog/product/b/e/bergans_rondane_65_l_dblue.jpg,new,"KESTÄVÄ BERGANS RONDANE -RINKKA 65 L Laadukas Bergans Rondane -vaellusrinkka on valmistettu kestävistä materiaaleista ja kestää esinomaisesti isommankin kuorman painon. Selkäosan, olkahihnojen sekä lantiovyön mesh- materiaali on erinomaisen hengittävää ja lisää rinkan käyttömukavuutta. Rondane aukeaa normaalisti ylhäältä, mutta siinä on lisäksi myös etutäyttöaukko, joka helpottaa pakkaamista ja purkamista. Rinkasta löytyy lisäksi monia taskuja ja kiinnityspisteitä, joihin saa kiinni vai..."
